Andrew,2,0,8,36,324,9,0,0,,Adam,9,0,3,103,927,9,9,1,,Vandal,Assembly,Foroglio,Palais,CT
Zach,4,0,8,59,531,9,0,0,,Eric,7,1,3,84,756,9,9,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Final Score,,,,,,,,,,,,,,,
,,,,,,,,,3-9,,,,,,,,,,,,,,,
Shirts,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Skins,K,A,D,ADR,DMG,Rounds,Rounds Won,Win,,Shirts Ban,Skins Ban 1,Skins Ban 2,Shirts Pick,Skins Side
Andrew,2,3,10,40,480,12,3,0,,Dan,7,2,6,52,624,12,9,1,,Vandal,Foroglio,Assembly,Palais,T
Brian,8,1,9,72,864,12,3,0,,Sean,11,4,5,98,1176,12,9,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Playoffs,,,,,,,,,Playoffs,,,,,,,,,,Playoffs,,,,,
